CourseNumber,Term,FacultyName,CourseName,Level,Description,Bonus Information,CourseDivision
HS????,F27,"Taneja, Palak","College Seminar: Barbed Wires, Drawn Lines",,,,
HS1126,F27,"Tsygankova, Valeria",Pushing the Boundaries of the Essay,I,"What comes to mind when you hear the word “essay”? Maybe you think of a formula for essay-writing that you learned long ago: five standardized paragraphs supporting a single thesis with little room for anything else. Maybe this formula has even given you the idea that essays are a mechanical, rulebound, and unexciting kind of writing. And yet, over its centuries-long history, essay-writing has been anything but formulaic—so much so that scholars find it impossible to agree on a set of stable essay conventions. As the editors of the Edinburgh Companion to the Essay (2022) argue, “the essay” isn’t a unitary genre at all. Instead, it’s a “contested space,” marked by many diverse and even competing approaches. This class is a gateway to that contested space. Assigned readings will introduce you to the outer limits of the essay universe. You will meet writers like James Baldwin, Leslie Jamison, Jacqueline Rhodes, and Cathy Park Hong, among many others, who have all made their own unique mark on the tradition. You will discover writers who make linear arguments—and others who embrace digression, fragmentation, and mosaic structures; those who incorporate research and those who write from memory; those who write in one language and those who draw on multiple languages at once; those who write alphabetically and others who produce multimodal and video essays. Studying this vast range of possibilities will help you expand your own toolkit for when you find yourself writing essays for various audiences and rhetorical situations (including, eventually, senior project proposals, independent study proposals, the Human Ecology Essay, fellowship applications and more). We will mine our readings for the diverse strategies that other writers have used for pulling in their readers, communicating their claims, acknowledging others’ thinking, and creating meaningful structures. You will be asked to reflect metacognitively about how you might transfer these strategies to your own writing in academic, professional, and public contexts. You will come away with an expanded sense of what counts as an “essay,” as well as a sharper capacity to analyze specific essay genres—such as research articles, op-eds, and application essays—each of which comes with its own range of conventions and expectations. Moreover, you will write essays for the exciting and imaginative reasons that have motivated other writers before you: to delve into questions that don’t have easy answers, to explore mysteries, to investigate the world—and yourself. Since essays incorporate so many diverse ways of making knowledge, you will also find a mix of modalities in this class: big-group discussions, collaborative analysis of readings, small-group annotation activities, individual focused free-writing, and more. You will be evaluated on 1) an essay that investigates the work of one essay writer who we will read during the term; 2) a final project (that can be a multimodal piece) in which you enact what you have learned about essayistic writing by composing an essay on an intellectual, aesthetic, or ethical question of your own choosing; 3) participation in a recursive writing process that includes reading, drafting, revision, and responding to classmates’ drafts. This course meets the writing and HS requirements and has no prerequisites. Level: Introductory. Prerequisites: None. Class limit: 12. Lab fee: None. Meets the following degree requirements: W, HS. ",,W HS
HS1120,F27,"Van Vliet, Netta",Introduction to Cultural Anthropology,I,"This course is an introduction to some of the central questions, arguments, and concepts of Cultural Anthropology. Broadly defined, “cultural anthropology” is the study of human cultures. Historically, such study has focused on explorations of difference through conducting fieldwork over an extended period of time in a specific community. Understandings of the discipline have changed over time, from definitions of it as an objective social science in the late 19th and early 20th centuries, when anthropology was dominated by European and U.S. anthropologists conducting fieldwork in places in Africa, Latin America and Asia, to definitions of it as a subjective interpretative social science that has been transformed and critiqued by anthropologists across the globe studying a wide range of human cultures and institutions, including their own societies. In the 1970s and 1980s, anthropologists began to “study up” through focusing on cultures of entities such as the World Bank, corporations, the military, scientists and investment bankers. Today, almost anything can be a focus for anthropological study.In this class we will address questions and arguments about structure, difference, power, colonialism, politics, representation and responsibility, both in terms of cultural anthropology’s own formation as a colonial discipline, and in terms of the tools for critical thinking that have emerged out of anthropological work. What kinds of social organization and economic systems tie people together? What produces conflict? What is the significance of myths, rituals and symbols? How are social systems reproduced over time? How do they change? What is the significance of relations of identification and interaction between individuals and group categories? What are the political implications of how the human is defined? As we learn about how different thinkers have engaged these questions, we will also critically examine the concepts that inform them, including ideas of agency, responsibility, representation and action. Texts will likely include work by Ruth Benedict, Lee D. Baker, Franz Boas, Jacques Derrida, Emile Durkheim, Michel Foucault, Sigmund Freud, Clifford Geertz, Zora Neale Hurston, Alfred Kroeber, Claude Levi-Strauss, Karl Marx, Sidney Mintz, Rosalind Morris, Anand Pandian, Gayle Rubin, Marshall Sahlins, Edward Said, Marilyn Strathern, Deborah Thomas, Michel-Rolph Trouillot, Victor Turner, and Eric Wolf. Course work will include engaging with ethnographic writing and ethnographic research methods, as well as with transdisciplinary encounters with anthropology, including work in literature, philosophy, feminist and postcolonial theory. Students will be evaluated on individual and small group ethnographic research and writing assignments, class participation, and weekly reading responses.Level: Introductory. Prerequisites: None. Class limit: 15. Lab fee: None. Meets the following degree requirements: HS.",,HS
HS1014,F27,"Van Vliet, Netta",Feminist Theory in a Transnational Frame I,I,"This course introduces students to some of the central texts and genealogies of feminist thought, with a focus on transnational feminist theory. We will address periods of feminist thought that have been significant in shaping the concerns of transnational feminisms, including 1970s U.S. feminism, French feminism, postcolonial theory, and Marxist thought. Over the course of the term, we will consider how differences across national borders have informed discussions about transnational feminist solidarity. We will examine how feminist theory can help us think about the following: kinship; reproduction; the law and justice; human rights discourse, political economy, racialized and other forms of difference; existence and the subject; the relation between individual and group; the relation between terms such as ""gender"" and ""sex;"" and the varied currencies the terms ""queer"" and ""feminist"" have carried in different national and transnational contexts.",,HS
HS1032,F27,"Cline, Ken",Acadia: Exploring the National Park Idea,I,"Using Acadia National Park as a case study, this course will explore the various facets of ""the national park idea"" and what it means for Americans in terms of history and identity. Through direct experiences in one of the ""crown jewels"" of the park system, the class will examine the historical, ecological, cultural, social, legal, economic, and spiritual context in which national parks are formed and continue to exist in the 21st century. We will work with National Park Service professionals to look at various aspects of park management and day-to-day challenges of implementing the ""national park idea."" Through weekly field trips, journaling, service learning opportunities, and projects, we will be immersed in the management and experience of Acadia. We will explore, through reading and writing, the broader themes of wilderness preservation, attitudes toward nature, the history of conservation, and the commodification of nature. This experiential class is specifically geared toward first-year students and they will be given preference for enrollment. Assignments will include journal writing, short exercises, a group project/service learning opportunity, short presentations, and papers. Level: Introductory. Prerequisites: none. Class limit: 20. Lab fee: $50. Meets the following degree requirements: HS",,HS
HS-New,F27,"McKown, Jamie",Democracy,,,,
,F27,"Hill, Ken",TBD,,,,
HS2121,F27,"Donovan, Martha","Writing as Art, Craft, and Social Change",I/M,"We write to discover what awes us, what questions we most need to ask, what conversations we hope to join, what causes we are drawn to support, what convictions we want to voice, and what ways we can write the world anew. Writing is both an art and a social action that can change us and our audiences. That is the province of this course.We will read and analyze various forms of writing (genres) on a broad range of social and policy issues, such as the value of wonder, the importance of antiracist work, the need for accessibility policies on college campuses, and other issues. We will consider the craft, context, audience, purpose, and possibilities of these texts as guides for our own writing. We will focus on the possibilities of the written and spoken word; the power of our distinct and unique voices; the importance of taking risks in our thinking and writing; the messiness, urgency, and necessity of the writing process; and the value of intellectual inquiry and the seamless integration and documentation of researched material. Students will address current issues of pressing concern and personal relevance in their own writing in three different selected genres (e.g., reflective essay, commentary, letter to editor, Commencement speech, testimony, proposal, open letter, personal statement, etc.). Students will examine and develop strategies for writing with curiosity, clarity, complexity, creativity, courage, and compassion as they invite their audience to consider their ideas and invitations/calls to action. Students will write about issues that matter to them, ones of interest to a local (Mount Desert Island or home town), state (Maine or home state), and/or national audience.Classwork will include various analytical, generative, and collaborative exercises designed to help with matters of language, craft, technique, and rhetorical awareness. Students will write for a public audience and participate in active engagement with each other’s work.Authors (representing a range of genres and topics) will likely include Annie Dillard, Rachel Carson, Barry Lopez, David Whyte, Margaret Renkl, Toni Morrison, Martin Luther King Jr., Terry Tempest Williams, and others. Students will also select a longer text to read from a list of authors that may include Jonathan Safran Foer, Susan Cain, Felicia Rose Chavez, Claudia Rankine, and others.Students will be evaluated on class participation, written assignments, writing process, and presentations. Level: Introductory/Intermediate. Prerequisites: None. Class limit: 12. Lab fee: None. Meets the following degree requirements: W, HS.",,W HS
ES3104,F27,"Slabach, Brittany",Vertebrate Zoology,M,"In this course, we will explore the phylogenetic, morphological, and ecological diversity of vertebrates within an evolutionary framework. Using a comparative approach, we will explore the diversity of major vertebrate groups, with a focus on local representatives; interpret major evolutionary transitions; and identify the relationships between structure and function. We will practice developing hypotheses about vertebrate ecology and evolution, considering morphological, behavioral, ecological, and life history traits. The laboratory component will be a mixture of work with museum specimens, dissections, and fieldwork. We will focus on nomenclature of anatomy, standard necropsy and identification techniques, including use of taxonomic keys. Fieldwork will introduce methods to survey and monitor vertebrates, including standard capture, handling, and marking techniques. The laboratory is scheduled with early field mornings in mind. Days we are not conducting field work, we will meet later for lab. There is a required weekend field trip. This class involves a fair amount of reading and memorization to help develop a strong foundation in the taxonomy of vertebrates, as this course is a prerequisite for other advanced vertebrate courses. Assessments include quizzes, a lab/field journal, a practical, and a final written “dream project” on a vertebrate ecology and evolution question of your choice.This course serves as a prerequisite for ornithology, herpetology and mammalogy courses.Level: Intermediate. Prerequisites: ES1054 Biology: Form and Function and a course in ecology. Class limit: 11. Lab fee: $75. Meets the following degree requirements: ES.",,ES
,F27,"Todd, Sean",TBD,,,,
,F27,"Robbins, Dani",TBD,,,,
,F27,"Baker, Jodi",SABBATICAL,,,,
AD3018,F27,"Capers, Colin",History of Filmmaking II,M,"D. W. Griffith, pioneer of early cinema, prophesied in 1924 that by 2024 cinema would have been instrumental in ""eliminating from the face of the civilized world all armed conflict"". Where have things gone wrong? Cinema is a powerful medium that in many ways is still struggling to find its place among the other arts; there are many promising byways that have been overlooked or under-explored. This course explores the histories, production and meanings of motion pictures. Using various films as case studies, we will look at the development of film forms, techniques and genres from 1946 to the present - the second half of cinema history. Films studied will include examples of narrative, documentary, animation, and the avant-garde. Students will learn concepts of film analysis and criticism, and will have opportunities to practice critical skills in class discussions and in research and writing assignments. Evaluation will be based on attendance, participation in class discussion, written papers, and research presentations. Film gives us the opportunity to, in the words of David Lynch, ""get lost in another world...to dream in the dark"". Who decides which dreams we will see? Through an understanding of where cinema has been we can more effectively shape its, and our, future. Writing Focus option.Level: Intermediate. Prerequisites: none. Class limit: 20. Lab fee: $35. Meets the following degree requirements: AD, HY",,AD HY
,F27,"Clinger, Catherine",TBD,,,,
AD6030,F27,"Henderson, Jonathan",Samba Percussion Ensemble,,"Samba is one of music’s great spectacles – loud, coordinated, precise, and kinetic. The music is equally at home on the stage and in the street. All are welcome to participate in COA’s samba percussion ensemble. The individual percussion parts range in complexity so the music suits a wide range of skills and levels of experience. The musical repertoire for the ensemble will be developed in coordination with Caique Vidal, a Brazilian percussionist who will visit the class (virtually) on a few occasions to offer perspective and insights drawn from his experience with the music. Alongside rehearsal and performance, students will study the history of samba music in Brazil. We will read Barbara Browning’s Samba: Resistance in Motion and also discuss what the music’s recontextualization to a college campus in Maine might mean for its performers and listeners. Student assessment will be based on rehearsal attendance, class discussion participation, reading response journals, and a final group presentation.Level: Variable, Introductory through Advanced. Prerequisites: None. Class limit: 12. Lab Fee: $60. Meets the following degree requirements: ADS",,ADS
,F27,"Ialeggio, Anna",TBD,,,,
,F27,"Muller, Brook",TBD,,,,
AD4050,F27,"Henderson, Jonathan",Sound Studies Practicum,M/A,"How are artists and scholars of sound engaging various crises in the anthropocene? What are the possibilities and limitations of responding to or representing a place through sound recording and playback? How do contemporary composers and sound artists engage place-specific material in their work? This practice-based course examines the interdisciplinary field of sound studies through close reading, listening, and hands-on (ears-on?) work in sound. Students will create place-based recording projects and site-specific sound installations that draw on local fieldwork excursions around Frenchman Bay, as well as on archival research connected to the Maine Sound and Story Archive and others. Students will sharpen skills in field recording, audio editing, multi-channel sound mixing and presentation, artistic collaboration, and building sonic-rich soundscapes as they work to create immersive sound art projects. This class will work to expand the narrative podcast format, seeking more abstract and layered forms that draw on research and storytelling to help audiences sense a place or a concept through the experience of sound. The course will examine key readings in the field of sound studies, and investigate the practice of sound artists working at the intersections of sound and climate change, sound and social (in)justice, the repatriation of sound recordings, sound and ethnographic practice, and more. Students must have prior experience recording and editing sound, and a willingness to collaborate with their peers to synthesize and realize their ideas. This course will involve fieldwork excursions outside of class time. Evaluation will be based on class participation, engagement with class projects and assignments, and the demonstration of learning in relationship to course content.Level: Intermediate/Advanced. Prerequisites: At least one of any of the following courses (or by permission of the instructor): AD4015 Film Sound Image, HS3100 Within Living Memory, AD 1058 Dissecting Popular Music, HS3122 Navigating Change, HS3120 Audio Journalism, AD3014 Soundscape, AD1040 Audio Production and Engineering, AD 1072 Audio Production as Compositional Tool. If you have not taken one of these courses but feel you have the background to take this course, please reach out to the instructor. Class Limit: 12. Lab fee: $50. Meets the following degree requirements: ADS.",,ADS
AD1071,F27,"Sebastian, Neeraj",Fundamentals of Painting,I,"In this course, students will be introduced to the basic aspects involved in the process of translating what they are observing in space onto two-dimensional surfaces in oil paint. Students will be introduced to the basics of color theory, mixing and matching colors, and also explore how color can change depending on context. Through the assignments we will investigate how form, volume, space and light can be captured in paint. Students will learn how to build their own frames and stretch and prepare canvases for painting and develop a studio practice, which includes cleaning and maintenance of brushes, the palette and other tools. A broad range of ideas and concerns in painting throughout history, from various parts of the world will be introduced in the class. In the last part of the term, different aspects of composition will be discussed: the way colors and shapes can work together to create an integrated image. Assignments will include quick paintings as well as paintings that are made over the course of multiple class sessions. The assignments over the course of the term will build students’ confidence in translating what’s in front of them, which makes the task of taking on the images in their heads, the images they are interested in, less daunting.Students will learn how to look at and analyze their peers’ work and provide them with constructive feedback during critiques. Previous drawing experience at high school or college level is strongly recommended. Evaluation will be based on how the specific criteria set for each assignment are met, participation and engagement during critiques, and receptivity to feedback.Level: Introductory. Prerequisite: None, but previous drawing experience at high school or college level is strongly recommended. Class limit: 12. Lab fee: $120. Meets the following degree requirements: ADS.",,ADS
AD1072,F27,"Soares, Zach",Audio Production as Compositional Tools,I,"In 1979, the music producer Brian Eno argued that the recording studio is a “compositional tool,” upending the idea that the recording studio exists to document pre-existing musical compositions. His assertion came on the back of pivotal albums such as The Beatles’ “Revolver” and The Beach Boys’ “Pet Sounds” (1966), which demonstrated the creative possibilities of composing in the studio. We might call this type of approach to music composition “playing the studio.” In this course, students learn how music production makes use of editing, mixing, and effect processing to maximize its impact. Through readings, film screenings, and audio listening sessions, students learn about past and present studio techniques and use these techniques during audio projects and exercises. Students learn to use virtual instruments, effect processors, microphones, and COA’s recording studio to strengthen their technical audio recording, editing, and mixing skills. Students will be evaluated based on their participation in class discussions, their fluency in the use of recording equipment and software, the process they use to approach each assignment, and the completion of assigned projects. No prerequisites or sound/music experience is required.Level: Introductory. Prerequisites: None. Class limit: 10. Lab fee: None. Meets the following degree requirements: ADS.",,ADS
,F27,"Edwards, Torrie",TBD,,,,
ES2010,F27,"Slabach, Brittany",Ecology: Natural History,I/M,"This course emphasizes field studies of the ecology of Mount Desert Island, incorporating labs and field trips. Each exercise focuses on a central ecological concept. Topics include intertidal biology and diversity, forest trees and site types, bedrock geology, soil biology, insect diversity, pollination ecology, freshwater biology, predation, herbivory, and the migration of birds. Discussions include the development of natural history as a science and the role of natural selection in the evolution of diversity. Students are expected to keep a field notebook or journal, to undertake a project, and to write a term paper. Class meets for two lecture sessions and one lab session or two field/lab sessions per week. The course is particularly appropriate for students concentrating in Environmental Education. This course is a partner course to Intertidal Ecology, meaning we explore the same topics just in different environments. Therefore, students may enroll in either Ecology: Natural History or Intertidal Ecology but not both. Level: Introductory/Intermediate. Prerequisites: None; field work involves strenuous hiking. Class Limit: 11. Lab fee: $95. Meets the following degree requirements: ES",,ES
,F27,"Feldman, David",TBD,,,,
ES1090,F27,"Gadeken, Kara",Intertidal Ecology,I,"The intertidal occupies the space on the ocean shore between the highest and lowest extents of the tides, and the organisms inhabiting the intertidal must adapt to an ever-fluctuating environment. It is unique among ecosystems in that it condenses and concentrates many ecological processes along a strong physiological gradient, and so serves as an ideal environment to observe and investigate fundamental ecological principles.In this course, you will be introduced to the many diverse intertidal ecosystems of coastal Maine, from rocky shorelines to tidal mudflats to salt marshes. Through discussions in class and observations in the field, we will endeavor to answer the questions:What organisms are found in the intertidal, and how are they adapted to life there?How is the distribution of intertidal organisms dictated by living in a transitional environment?How do intertidal organisms interact with each other, and how does this shape the community?We meet twice per week for class time with one afternoon lab period. During lab time we will be going on field trips as much as possible to explore the local intertidal habitats. This course is intended as an accessible introduction to marine community ecology and field work. Assessment is based on weekly question sets, lab assignments, and a short research proposal.This course is a partner course to Ecology: Natural History, meaning we explore the same topics just in different environments. Therefore, students may enroll in either Intertidal Ecology or Ecology: Natural History but not both.Level: Introductory. Prerequisites: None. Class limit: 16. Lab fee: $40. Meets the following degree requirements: ES.",,ES
ES1028,F27,"Gadeken, Kara",Marine Biology,I,,,
MD4014,F27,"Gibson, David",Building Science and Energy Auditing,M/A,"Buildings account for nearly 40% of global carbon emissions. Sixty percent of Maine homes are heated with heating oil, the highest percentage of any state, and Mainers spend more than a billion dollars on heating oil each year. Improving the efficiency of our homes and buildings is essential for transitioning away from fossil fuels and reducing carbon emissions.In this course, students will learn how to safely transition buildings away from fossil fuels. This includes understanding the science of energy and moisture movement through a building, how to monitor carbon monoxide and other harmful combustion gases, and methods to reduce energy loss, while maintaining comfortable levels of humidity and fresh air. Students will gain proficiency measuring air leakage with a blower door, using an infrared camera to assess insulation levels, calculating heat loss, and identifying solutions and best practices to develop a plan of action for homeowners.They will also learn about high efficiency mechanical systems like air source heat pumps, heat pump water heaters, and how to assess lighting and appliance electrical usage. Students will learn how to carry out cost calculations for energy savings and research and share information on rebates and incentives available for homeowners. This will be a very hands-on course, with weekly labs to teach energy auditing field skills. This course will include presentations from local energy contractors, and students will participate in energy audits of residential buildings on or off campus. Through these experiences, students will meet and interact with home performance businesses and non-profit organizations in the local community. As time and weather conditions permit, students will gain experience implementing efficiency solutions such as insulation and air sealing.Students who successfully complete this course will be able to conduct energy audits for homes, identify cost-effective improvements, and prioritize energy improvements to maximize energy savings. This course will provide students with the tools and experience to reduce building energy use and greenhouse gas emissions in a holistic, whole-building approach.Evaluation will be based on completion of assignments, participation in class discussions, and mastery of field skills.Level: Intermediate/Advanced. Prerequisites: Physics and Mathematics of Sustainable Energy. Class Limit: 12. Lab fee: $50. Meets the following degree requirements: None.",,
ES5041,F27,"Letcher, Susan",Forest Ecology,A,"Forests hold a large fraction of the world’s biodiversity and store immense reserves of carbon. This course will focus on understanding forests at the population, community, and ecosystem scales. We will study woody plant taxonomy; the way that forests are defined and understood by ecologists; the factors that influence plant distributions at large and small scales; the biotic and abiotic controls on tree growth and productivity; the cycling of carbon, nitrogen, and phosphorus in forests; the life history strategies of different functional groups of trees; the population and community dynamics of trees, including forest succession; the ecological interactions between trees and other organisms in the forest; and forest diversity across the globe. The course will focus primarily on Maine forests, with field trips to Acadia National Park and the surrounding area, but we will also take a global perspective and study forest ecosystems from the taiga to the tropics. Fieldwork will cover woody plant taxonomy, forest inventory methods, and forest ecosystem assessment. Students will be evaluated based on class participation, dendrology quizzes, a field/lab notebook, and final project reports (written and oral).",,ES
AD4046,F27,"Sebastian, Neeraj",Drawing Intensive/Developing a Studio Practice,M/A,"In the first part of this course, drawing will be used to experiment, interrogate and expand different aspects of one’s artistic practice. Using a broad range of materials, students are encouraged to work intuitively and take multiple approaches to presenting ideas–especially ideas that may not have been explored previously in their work–and develop them in different ways. Students will create large quantities of drawings based on prompts that will then be discussed with the class. What stands out? What makes a piece surprising or interesting? What revisions can be made to strengthen these moments or motifs? These are kinds of questions that will inform our discussions.Taken together, these drawings will offer a broad range of possibilities that will then be explored for the rest of the term, during which students will develop a body of work. Students will meet weekly as a group to discuss work made or advanced in the previous week and meet individually with the instructor every other week to discuss materials and other aspects of their art practices. The work made over the course of the term should include material investigation (why are you using the materials you’re using and how does it support your thematic interests?) and embody a range of conceptual concerns. Throughout the term, students will be introduced to several artists’ working methods. Students are expected to work independently and have some degree of familiarity with the materials they choose to work with.“Drawing” is used broadly here: students working in any medium are encouraged to take this course (for example, a student interested in three-dimensional work might respond to the prompts with forms made from cardboard or other found materials). This course is designed to kickstart a nascent practice or one that might have become dormant or plateaued as well as give students room to experiment and then build on these experiments. Students enrolling in this class should have some form of previous studio experience. Evaluation will be based on students’ work, participation in class discussions, the ability to offer critical and constructive feedback to one’s peers, and the ability to push oneself beyond one’s comfort zone or perceived limitations—especially when it comes to allowing the work to evolve and change in response to feedback and critique. Level: Intermediate/Advanced. Prerequisites: At least one ADS course. Class limit: 8. Lab fee: $100. Meets the following degree requirements: ADS.",,ADS
HS2016,W28,"Little-Siebold, Todd",Indigenous America,I/M,"This is a course in the study of Chinese philosophy and culture. The philosophies of Confucianism, Taoism, and Buddhism are examined in detail and their influence on the arts and culture of China is explored. Eastern and western views on nature, human nature, and society are compared and contrasted.",,HS
HS1011,W28,"Little-Siebold, Todd",Environmental History,I,"How has human history shaped and been shaped by ""the environment""? Environmental history is one of the most exciting new fields in history. In this course we examine world history from Mesopotamia to the present to see the role such things as resource scarcity, mythology, philosophy, imperialism, land policy, theology, plagues, scientific revolutions, the discovery of the new world, the industrial revolution, etc. on the natural, social, and built environments.Level: Introductory. Prerequisites: None. Class limit: 15. Lab fee: none. Meets the following degree requirements: HS HY",,HS HY
HS1065,W28,"Lakey, Heather",Philosophies of Good and Evil,I,"Good and evil are timeless topics and they have motivated centuries of philosophical thinking. Although the terms “good” and “evil” are commonly used across a range of discourses, they are ambiguous, equivocal, and contested concepts. In an effort to explore different ideas about good and evil, this course provides a broad overview of the issues, arguments, and debates that shape philosophical ethics. Guiding questions include the following: What are the origins of good and evil? What makes an action right or wrong? Why do we act morally? What should we do with someone who commits a horrific act? Who decides what counts as a horrific act? What kinds of ethical theories operate without the concepts of good and evil? Is evil an outdated or relevant concept? Do the concepts of good and evil help or hinder moral thinking?To critically unpack these questions, we will read works by ethical thinkers including Immanuel Kant, John Stuart Mill, Hannah Arendt, Zhuangzi, Simone de Beauvoir, Abû Nasr al-Fârâbî, Nell Noddings, Peter Singer, Kwame Gyekye, Mencius, Sherman Alexie, and others. Along the way, we will study deontology, utilitarianism, contractarianism, ethical relativism, feminist ethics, Taoism, and existential ethics. In addition, we will unpack the ethical arguments that orbit concrete topics such as execution, murder, moral character, racial injustice, and our ethical duties to one another.This course will familiarize students with the influential frameworks of ethical philosophy, and it will encourage students to apply these frameworks to specific ethical problems. Course requirements include class participation, three short papers, a reflection essay, and a final paper or project. There are no prerequisites for this course, but students should be prepared to engage with difficult, philosophical texts and to discuss these texts in class. Level: Introductory. Prerequisites: None, but students should be prepared to engage difficult, philosophical texts and to discuss these texts in class. Class limit: 12. Lab fee: None. Meets the following degree requirements: HS",,HS
HS2076,W28,"Donovan, Martha","Life Stories: Memory, Family, and Place",I/M,"One of the deepest human instincts is to tell our life stories, to figure out who we are. This course will use a workshop approach with a particular focus on memoir writing rooted in an exploration of family and place. We will study the writing process and matters of craft by reading and responding to memoirs by contemporary writers (e.g., Terry Tempest Williams’ When Women Were Birds: Fifty-Four Variations on Voice), a practical guide to memoir writing (Judith Barrington's Writing the Memoir), and essays on memoir and memory (e.g., Patricia Hampl’s I Could Tell You Stories: Sojourns in the Land of Memory). Class time will include discussion of readings, writing exercises designed to help students with matters of language and technique in their own writing, and group critiques of work-in-progress. Student work will be shared through a class reading and the production of a chapbook of one of their stories. Students will be evaluated on the effort and quality of their writing, their commitment to the writing process, their participation in peer review and workshops, a final portfolio of all their writing, and their class reading of finished work. Level: Introductory/Intermediate. Prerequisites: None. Class limit: 12. Lab fee: $20. Meets the following degree requirements: HS.",,HS
,W28,"Khor, Su Yin",TBD,,,,
,W28,"Friedlander, Jay",TBD,,,,
AD2035,W28,"Mahoney, Dan","Our Band Could Be Your Life: Music, Art, Zines 1975-2015",I/M,"This course is an investigation of how we consume and are consumed by music. Topics include youth and subcultures of music, power and identity, the politics of location, and fan cultures. We will listen to punk rock, hip hop, riot grrrl, shoegaze, noise, psych, death metal, doom drone, post rock, grindcore and pop (among others); we will analyze visual artists who come to represent musical movements (such as Raymond Pettibon & Winston Smith, Fab 5 Freddy & Cey Adams) and we will read socio-cultural criticism of the times and places from which these artists sprang (Joan Didion, Steve Waksman, Theodor Adorno, Tobi Vale, Kathleen Hanna and Kevin Young). The class will explore analogue artifacts from the 70s, 80s & 90s (posters, zines, fine art, videos) and compare them to digital artifacts found today on the internet. Students are required to attend all weekly film screenings and sound sessions. Evaluations will be based on regular critical responses, a final project and participation in discussion and class activities. Level: Introductory/Intermediate. Prerequisites: none. Class limit: 15. Lab fee: None. Meets the following degree requirements: AD. ",,AD
HS2096,W28,"Lakey, Heather","Nature, Humans, and Philosophy",I/M,"According to COA’s website, Human Ecology studies the relationships between humans and their natural and social environments. But what do we mean by “nature,” and what distinguishes a natural environment from a social one? Moreover, what kinds of relationships should we cultivate with our natural environments? This discussion-based course explores the concepts of nature and environmental responsibility across different philosophical and cultural frameworks. We will draw on a variety of readings from environmental ethics, ecofeminism, deep ecology, American transcendentalism, indigenous studies, queer theory, and Buddhism. We will read selections from thinkers such as John Stuart Mill, Ralph Waldo Emerson, Ramachandra Guha, Aldo Leopold, Arne Naess, Val Plumwood, Vandana Shiva, Gary Snyder, Henry David Thoreau, Eduardo Kohn, Mary-Jane Rubenstein, Thich Nhat Hanh, Anna Tsing, and others. Guiding questions include the following: What is nature? How is the idea of nature politicized and socially constructed? Do we have moral obligations to nature? How should humans relate to nature? What assumptions drive the conceptual distinction between humans and nature? Although this course will focus primarily on theoretical questions, we will also discuss issues in applied ethics such as, control over natural resources, wilderness preservation, sustainability, and consumption. Throughout the course, we will revisit questions pertaining to environmental activism, and we will consider how philosophy can help us to articulate our ethical responsibilities and obligations. Upon completion of this course, students will have gained a richer philosophical understanding of the idea of nature and they will be familiar with key debates in environmental ethics. Course requirements include weekly writing assignments, a midterm exam, a final paper, and class participation. There are no prerequisites, but students should arrive to this class prepared to engage difficult philosophical texts and to share their ideas with others. Level: Introductory/Intermediate. Prerequisites: None. Class limit: 15. Lab fee: None. Meets the following degree requirements: HS",,HS
HS1094,W28,"McKown, Jamie",Public Speaking Workshop,I,"Consider all the ways that public speaking could be a part of your academic and professional paths: presenting your research, sitting on a webinar panel, speaking up at ACM, advocating for an urgent cause or policy, preparing your senior project presentation, delivering a formal address at a special occasion, or even deciding to perform spoken word at an open-mic. This course will prepare you to thoughtfully analyze your audience, research and organize relevant information, and deliver the critically important, well-prepared presentation that you’re capable of. Along the way we will be guided by, and critically analyze, three varied and sometimes contradictory premises: that it’s imperative to master the art of formal, standard presentation/speech delivery, that it’s equally important to respect and refine your own unique, authentic voice and speech communication style, and that important change happens when we both listen carefully and speak up loudly. This class will be conducted as a workshop with an emphasis on students producing increasingly advanced speeches for public performance and/or consumption. Students will complete three graded, “formal” presentations while also considering additional creative approaches and formats for public communication. Students will work with a variety of short texts and videos to generate new ideas and helpful public speaking habits. The real benefits of this course come from the positive, supportive, environment in which students can practice new public speaking skills and learn from each other. This class emphasizes a fun, dynamic, “hands-on” approach to constructing speeches. Students who feel that they are less proficient in the area of public communication should not be worried that this would somehow disadvantage them in terms of their overall evaluation. All students, regardless of their levels of comfort, experience, or and English-proficiency are encouraged to consider this course. This workshop is designed to help you improve your public presentation skills regardless of whether you are a complete novice to public speaking, or already have many years of practice. Your final evaluation for the course will be based on your engagement with the process, not on some objective standard of who gave the best speeches. Level: Introductory. Prerequisites: None. Class limit: 14. Lab fee: None. Meets the following degree requirements: HS.",,HS
HS2010,W28,"Waldron, Karen","Literature, Science, Spirituality",I/M,"A survey of Anglo-American literature from the Scientific Revolution to the present. Focuses on the ongoing debate about the role of science in Western culture, the potential benefits and dangers of scientific experimentation, the spiritual, religious, social and political issues that come about with the Ages of Discovery and Reason, and their treatment in literature. Specific debates include concerns over what is ""natural,"" whether knowledge is dangerous, the perils of objectivity, and the mind/body dichotomy; works include Shelley's Frankenstein, Ibsen's An Enemy of the People, Brecht's Galileo, Lightman's Einstein's Dreams and Naylor's Mama Day as well as short stories and poems. Writing-focused option.Level: Introductory/Intermediate. Prerequisite: Writing Seminar I. Offered every two or three years. Lab fee: $10. Class limit: 15. Meets the following degree requirements: HS",,HS
